,precision,recall,f1-score,support
Apple___Apple_scab,0.0,0.0,0.0,0.0
Apple___Black_rot,0.6,1.0,0.75,12.0
Apple___Cedar_apple_rust,0.26,1.0,0.42,5.0
Apple___healthy,0.0,0.0,0.0,3.0
CottonAphids,0.57,0.83,0.68,120.0
CottonArmy_worm,0.56,0.94,0.7,120.0
CottonBacterial_Blight,0.79,0.46,0.58,121.0
CottonHealthy,1.0,0.58,0.73,121.0
CottonPowdery_Mildew,0.96,0.75,0.84,120.0
CottonTarget_spot,0.93,0.66,0.77,121.0
Potato___Early_blight,1.0,0.92,0.96,100.0
Potato___Late_blight,0.92,0.71,0.8,101.0
Potato___healthy,0.93,0.95,0.94,101.0
RoseBlack Spot,0.73,0.99,0.84,109.0
RoseDowny Mildew,0.98,0.94,0.96,112.0
RoseFresh Leaf,0.97,0.79,0.87,144.0
